# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.23901E+05
       0.0000      32294.4222         0.24189E+05
       0.0000      32326.6843         0.24482E+05
       0.0000      32358.9465         0.24780E+05
       0.0000      32391.2086         0.25083E+05
       0.0000      32423.4708         0.25390E+05
       0.0000      32455.7330         0.25703E+05
       0.0000      32487.9951         0.26021E+05
       0.0000      32520.2573         0.26344E+05
       0.0000      32552.5194         0.26672E+05
       0.0000      32584.7816         0.27006E+05
       0.0000      32617.0438         0.27345E+05
       0.0000      32649.3059         0.27690E+05
       0.0000      32681.5681         0.28041E+05
       0.0000      32713.8302         0.28398E+05
       0.0000      32746.0924         0.28761E+05
       0.0000      32778.3546         0.29130E+05
       0.0000      32810.6167         0.29505E+05
       0.0000      32842.8789         0.29887E+05
       0.0000      32875.1410         0.30276E+05
       0.0000      32907.4032         0.30671E+05
       0.0000      32939.6654         0.31074E+05
       0.0000      32971.9275         0.31483E+05
       0.0000      33004.1897         0.31900E+05
       0.0000      33036.4518         0.32324E+05
       0.0000      33068.7140         0.32756E+05
       0.0000      33100.9762         0.33196E+05
       0.0000      33133.2383         0.33644E+05
       0.0000      33165.5005         0.34100E+05
       0.0000      33197.7626         0.34564E+05
       0.0000      33230.0248         0.35037E+05
       0.0000      33262.2870         0.35519E+05
       0.0000      33294.5491         0.36009E+05
       0.0000      33326.8113         0.36510E+05
       0.0000      33359.0734         0.37019E+05
       0.0000      33391.3356         0.37538E+05
       0.0000      33423.5978         0.38068E+05
       0.0000      33455.8599         0.38607E+05
       0.0000      33488.1221         0.39157E+05
       0.0000      33520.3842         0.39718E+05
       0.0000      33552.6464         0.40290E+05
       0.0000      33584.9086         0.40874E+05
       0.0000      33617.1707         0.41469E+05
       0.0000      33649.4329         0.42075E+05
       0.0000      33681.6950         0.42695E+05
       0.0000      33713.9572         0.43327E+05
       0.0000      33746.2194         0.43971E+05
       0.0000      33778.4815         0.44630E+05
       0.0000      33810.7437         0.45302E+05
       0.0000      33843.0058         0.45988E+05
       0.0000      33875.2680         0.46688E+05
       0.0000      33907.5302         0.47404E+05
       0.0000      33939.7923         0.48135E+05
       0.0000      33972.0545         0.48881E+05
       0.0000      34004.3166         0.49644E+05
       0.0000      34036.5788         0.50424E+05
       0.0000      34068.8410         0.51221E+05
       0.0000      34101.1031         0.52035E+05
       0.0000      34133.3653         0.52868E+05
       0.0000      34165.6274         0.53720E+05
       0.0000      34197.8896         0.54592E+05
       0.0000      34230.1518         0.55483E+05
       0.0000      34262.4139         0.56395E+05
       0.0000      34294.6761         0.57329E+05
       0.0000      34326.9382         0.58284E+05
       0.0000      34359.2004         0.59263E+05
       0.0000      34391.4626         0.60264E+05
       0.0000      34423.7247         0.61291E+05
       0.0000      34455.9869         0.62342E+05
       0.0000      34488.2490         0.63419E+05
       0.0000      34520.5112         0.64523E+05
       0.0000      34552.7734         0.65655E+05
       0.0000      34585.0355         0.66816E+05
       0.0000      34617.2977         0.68006E+05
       0.0000      34649.5598         0.69228E+05
       0.0000      34681.8220         0.70481E+05
       0.0000      34714.0842         0.71768E+05
       0.0000      34746.3463         0.73089E+05
       0.0000      34778.6085         0.74445E+05
       0.0000      34810.8706         0.75839E+05
       0.0000      34843.1328         0.77271E+05
       0.0000      34875.3950         0.78743E+05
       0.0000      34907.6571         0.80256E+05
       0.0000      34939.9193         0.81813E+05
       0.0000      34972.1814         0.83415E+05
       0.0000      35004.4436         0.85063E+05
       0.0000      35036.7058         0.86760E+05
       0.0000      35068.9679         0.88508E+05
       0.0000      35101.2301         0.90309E+05
       0.0000      35133.4922         0.92165E+05
       0.0000      35165.7544         0.94079E+05
       0.0000      35198.0166         0.96053E+05
       0.0000      35230.2787         0.98090E+05
       0.0000      35262.5409         0.10019E+06
       0.0000      35294.8030         0.10237E+06
       0.0000      35327.0652         0.10461E+06
       0.0000      35359.3274         0.10693E+06
       0.0000      35391.5895         0.10933E+06
       0.0000      35423.8517         0.11181E+06
       0.0000      35456.1138         0.11438E+06
       0.0000      35488.3760         0.11704E+06
       0.0000      35520.6382         0.11980E+06
       0.0000      35552.9003         0.12266E+06
       0.0000      35585.1625         0.12563E+06
       0.0000      35617.4246         0.12871E+06
       0.0000      35649.6868         0.13191E+06
       0.0000      35681.9490         0.13524E+06
       0.0000      35714.2111         0.13871E+06
       0.0000      35746.4733         0.14231E+06
       0.0000      35778.7354         0.14606E+06
       0.0000      35810.9976         0.14998E+06
       0.0000      35843.2598         0.15406E+06
       0.0000      35875.5219         0.15833E+06
       0.0000      35907.7841         0.16279E+06
       0.0000      35940.0462         0.16745E+06
       0.0000      35972.3084         0.17233E+06
       0.0000      36004.5706         0.17744E+06
       0.0000      36036.8327         0.18281E+06
       0.0000      36069.0949         0.18844E+06
       0.0000      36101.3570         0.19435E+06
       0.0000      36133.6192         0.20058E+06
       0.0000      36165.8814         0.20713E+06
       0.0000      36198.1435         0.21403E+06
       0.0000      36230.4057         0.22131E+06
       0.0000      36262.6678         0.22900E+06
       0.0000      36294.9300         0.23712E+06
       0.0000      36327.1922         0.24570E+06
       0.0000      36359.4543         0.25477E+06
       0.0000      36391.7165         0.26436E+06
       0.0000      36423.9786         0.27449E+06
       0.0000      36456.2408         0.28519E+06
       0.0000      36488.5030         0.29647E+06
       0.0000      36520.7651         0.30832E+06
       0.0000      36553.0273         0.32073E+06
       0.0000      36585.2894         0.33365E+06
       0.0000      36617.5516         0.34697E+06
       0.0000      36649.8138         0.36055E+06
       0.0000      36682.0759         0.37416E+06
       0.0000      36714.3381         0.38747E+06
       0.0000      36746.6002         0.40005E+06
       0.0000      36778.8624         0.41135E+06
       0.0000      36811.1246         0.42076E+06
       0.0000      36843.3867         0.42763E+06
       0.0000      36875.6489         0.43139E+06
       0.0000      36907.9110         0.43173E+06
       0.0000      36940.1732         0.42867E+06
       0.0000      36972.4354         0.42271E+06
       0.0000      37004.6975         0.41474E+06
       0.0000      37036.9597         0.40594E+06
       0.0000      37069.2218         0.39755E+06
       0.0000      37101.4840         0.39066E+06
       0.0000      37133.7462         0.38606E+06
       0.0000      37166.0083         0.38421E+06
       0.0000      37198.2705         0.38524E+06
       0.0000      37230.5326         0.38898E+06
       0.0000      37262.7948         0.39509E+06
       0.0000      37295.0570         0.40310E+06
       0.0000      37327.3191         0.41248E+06
       0.0000      37359.5813         0.42268E+06
       0.0000      37391.8434         0.43317E+06
       0.0000      37424.1056         0.44349E+06
       0.0000      37456.3678         0.45326E+06
       0.0000      37488.6299         0.46223E+06
       0.0000      37520.8921         0.47029E+06
       0.0000      37553.1542         0.47750E+06
