 # Mode   Huang-Rhys factor
           1  7.223405652011152E-027
           2  1.320262960485803E-025
           3  9.016955577013264E-002
           4  2.943272600382005E-027
           5  8.299347359957542E-004
           6  2.211349228849964E-005
           7  4.229773304833059E-028
           8  0.415021452639216     
           9  9.040815068793013E-028
          10  7.224833495242265E-027
          11  8.831255072224289E-029
          12  0.318399369032277     
          13  1.104195982674950E-029
          14  3.312076072273531E-002
          15  3.413585560310682E-028
          16  3.407590232501287E-002
          17  3.543992888640335E-002
          18  0.100173369826969     
          19  0.364086811447372     
          20  0.191691076721097     
          21  3.527354490169751E-003
          22  3.467871182307278E-002
          23  4.698785215566109E-002
          24  0.448330513513443     
          25  0.161019270307503     
          26  7.710217629393455E-002
          27  6.054156508226973E-003
          28  6.844689512895452E-004
          29  2.814500720218318E-004
          30  1.096510901474468E-003
