# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.5000  eV
#     vib freq     dsigma/dOmega
       0.0000         0.86861E+06
     145.7316         0.53948E-23
     163.8021         0.12999E-21
     395.1831         0.94279E+03
     398.9707         0.31488E-22
     526.5897         0.15670E+02
     550.8511         0.44802E+00
     562.7552         0.88398E-23
     567.9648         0.87861E+04
     673.5899         0.23400E-22
     735.9935         0.21044E-21
     775.5791         0.28528E-23
     781.8606         0.10486E+05
     825.8207         0.42651E-24
     982.1410         0.28470E+04
     995.0062         0.31393E-22
    1002.0680         0.32499E+04
    1100.6623         0.52076E+04
    1215.8164         0.19846E+05
    1242.6576         0.75409E+05
    1404.1961         0.49296E+05
    1430.3562         0.94394E+03
    1436.8025         0.93754E+04
    1523.6034         0.14721E+05
    1710.1237         0.17929E+06
    1811.3747         0.66298E+05
    1840.5315         0.31686E+05
    3225.7117         0.59038E+04
    3264.9362         0.66617E+03
    3622.9178         0.25305E+03
    3664.9810         0.97486E+03
