# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.12574E+05
       0.0000      32294.4222         0.12692E+05
       0.0000      32326.6843         0.12811E+05
       0.0000      32358.9465         0.12931E+05
       0.0000      32391.2086         0.13053E+05
       0.0000      32423.4708         0.13176E+05
       0.0000      32455.7330         0.13301E+05
       0.0000      32487.9951         0.13428E+05
       0.0000      32520.2573         0.13556E+05
       0.0000      32552.5194         0.13685E+05
       0.0000      32584.7816         0.13816E+05
       0.0000      32617.0438         0.13949E+05
       0.0000      32649.3059         0.14083E+05
       0.0000      32681.5681         0.14219E+05
       0.0000      32713.8302         0.14357E+05
       0.0000      32746.0924         0.14496E+05
       0.0000      32778.3546         0.14637E+05
       0.0000      32810.6167         0.14780E+05
       0.0000      32842.8789         0.14925E+05
       0.0000      32875.1410         0.15071E+05
       0.0000      32907.4032         0.15220E+05
       0.0000      32939.6654         0.15370E+05
       0.0000      32971.9275         0.15522E+05
       0.0000      33004.1897         0.15676E+05
       0.0000      33036.4518         0.15832E+05
       0.0000      33068.7140         0.15990E+05
       0.0000      33100.9762         0.16150E+05
       0.0000      33133.2383         0.16313E+05
       0.0000      33165.5005         0.16477E+05
       0.0000      33197.7626         0.16643E+05
       0.0000      33230.0248         0.16812E+05
       0.0000      33262.2870         0.16983E+05
       0.0000      33294.5491         0.17156E+05
       0.0000      33326.8113         0.17331E+05
       0.0000      33359.0734         0.17509E+05
       0.0000      33391.3356         0.17689E+05
       0.0000      33423.5978         0.17872E+05
       0.0000      33455.8599         0.18056E+05
       0.0000      33488.1221         0.18244E+05
       0.0000      33520.3842         0.18434E+05
       0.0000      33552.6464         0.18626E+05
       0.0000      33584.9086         0.18821E+05
       0.0000      33617.1707         0.19019E+05
       0.0000      33649.4329         0.19220E+05
       0.0000      33681.6950         0.19423E+05
       0.0000      33713.9572         0.19629E+05
       0.0000      33746.2194         0.19838E+05
       0.0000      33778.4815         0.20050E+05
       0.0000      33810.7437         0.20265E+05
       0.0000      33843.0058         0.20483E+05
       0.0000      33875.2680         0.20704E+05
       0.0000      33907.5302         0.20928E+05
       0.0000      33939.7923         0.21155E+05
       0.0000      33972.0545         0.21385E+05
       0.0000      34004.3166         0.21619E+05
       0.0000      34036.5788         0.21856E+05
       0.0000      34068.8410         0.22097E+05
       0.0000      34101.1031         0.22341E+05
       0.0000      34133.3653         0.22588E+05
       0.0000      34165.6274         0.22840E+05
       0.0000      34197.8896         0.23094E+05
