# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.72029E+04
       0.0000      32294.4222         0.74727E+04
       0.0000      32326.6843         0.77456E+04
       0.0000      32358.9465         0.80213E+04
       0.0000      32391.2086         0.82996E+04
       0.0000      32423.4708         0.85802E+04
       0.0000      32455.7330         0.88629E+04
       0.0000      32487.9951         0.91474E+04
       0.0000      32520.2573         0.94333E+04
       0.0000      32552.5194         0.97206E+04
       0.0000      32584.7816         0.10009E+05
       0.0000      32617.0438         0.10298E+05
       0.0000      32649.3059         0.10587E+05
       0.0000      32681.5681         0.10877E+05
       0.0000      32713.8302         0.11167E+05
       0.0000      32746.0924         0.11457E+05
       0.0000      32778.3546         0.11746E+05
       0.0000      32810.6167         0.12035E+05
       0.0000      32842.8789         0.12323E+05
       0.0000      32875.1410         0.12611E+05
       0.0000      32907.4032         0.12897E+05
       0.0000      32939.6654         0.13183E+05
       0.0000      32971.9275         0.13467E+05
       0.0000      33004.1897         0.13750E+05
       0.0000      33036.4518         0.14032E+05
       0.0000      33068.7140         0.14312E+05
       0.0000      33100.9762         0.14591E+05
       0.0000      33133.2383         0.14868E+05
       0.0000      33165.5005         0.15144E+05
       0.0000      33197.7626         0.15418E+05
       0.0000      33230.0248         0.15691E+05
       0.0000      33262.2870         0.15963E+05
       0.0000      33294.5491         0.16233E+05
       0.0000      33326.8113         0.16502E+05
       0.0000      33359.0734         0.16769E+05
       0.0000      33391.3356         0.17036E+05
       0.0000      33423.5978         0.17301E+05
       0.0000      33455.8599         0.17566E+05
       0.0000      33488.1221         0.17829E+05
       0.0000      33520.3842         0.18093E+05
       0.0000      33552.6464         0.18355E+05
       0.0000      33584.9086         0.18617E+05
       0.0000      33617.1707         0.18879E+05
       0.0000      33649.4329         0.19140E+05
       0.0000      33681.6950         0.19402E+05
       0.0000      33713.9572         0.19664E+05
       0.0000      33746.2194         0.19926E+05
       0.0000      33778.4815         0.20189E+05
       0.0000      33810.7437         0.20453E+05
       0.0000      33843.0058         0.20717E+05
       0.0000      33875.2680         0.20983E+05
       0.0000      33907.5302         0.21250E+05
       0.0000      33939.7923         0.21518E+05
       0.0000      33972.0545         0.21788E+05
       0.0000      34004.3166         0.22060E+05
       0.0000      34036.5788         0.22333E+05
       0.0000      34068.8410         0.22609E+05
       0.0000      34101.1031         0.22887E+05
       0.0000      34133.3653         0.23168E+05
       0.0000      34165.6274         0.23451E+05
       0.0000      34197.8896         0.23737E+05
       0.0000      34230.1518         0.24026E+05
       0.0000      34262.4139         0.24319E+05
       0.0000      34294.6761         0.24614E+05
       0.0000      34326.9382         0.24913E+05
       0.0000      34359.2004         0.25216E+05
       0.0000      34391.4626         0.25523E+05
       0.0000      34423.7247         0.25834E+05
       0.0000      34455.9869         0.26149E+05
       0.0000      34488.2490         0.26468E+05
       0.0000      34520.5112         0.26791E+05
       0.0000      34552.7734         0.27120E+05
       0.0000      34585.0355         0.27453E+05
       0.0000      34617.2977         0.27791E+05
       0.0000      34649.5598         0.28134E+05
       0.0000      34681.8220         0.28483E+05
       0.0000      34714.0842         0.28837E+05
       0.0000      34746.3463         0.29196E+05
       0.0000      34778.6085         0.29562E+05
       0.0000      34810.8706         0.29933E+05
       0.0000      34843.1328         0.30311E+05
       0.0000      34875.3950         0.30694E+05
       0.0000      34907.6571         0.31084E+05
       0.0000      34939.9193         0.31481E+05
       0.0000      34972.1814         0.31885E+05
       0.0000      35004.4436         0.32295E+05
       0.0000      35036.7058         0.32713E+05
       0.0000      35068.9679         0.33138E+05
       0.0000      35101.2301         0.33571E+05
       0.0000      35133.4922         0.34011E+05
       0.0000      35165.7544         0.34459E+05
       0.0000      35198.0166         0.34915E+05
       0.0000      35230.2787         0.35380E+05
       0.0000      35262.5409         0.35854E+05
       0.0000      35294.8030         0.36336E+05
       0.0000      35327.0652         0.36827E+05
       0.0000      35359.3274         0.37327E+05
       0.0000      35391.5895         0.37837E+05
       0.0000      35423.8517         0.38357E+05
       0.0000      35456.1138         0.38887E+05
       0.0000      35488.3760         0.39427E+05
       0.0000      35520.6382         0.39978E+05
       0.0000      35552.9003         0.40540E+05
       0.0000      35585.1625         0.41112E+05
       0.0000      35617.4246         0.41697E+05
       0.0000      35649.6868         0.42293E+05
       0.0000      35681.9490         0.42901E+05
       0.0000      35714.2111         0.43522E+05
       0.0000      35746.4733         0.44156E+05
       0.0000      35778.7354         0.44803E+05
       0.0000      35810.9976         0.45464E+05
       0.0000      35843.2598         0.46138E+05
       0.0000      35875.5219         0.46828E+05
       0.0000      35907.7841         0.47532E+05
       0.0000      35940.0462         0.48252E+05
       0.0000      35972.3084         0.48987E+05
       0.0000      36004.5706         0.49739E+05
       0.0000      36036.8327         0.50508E+05
       0.0000      36069.0949         0.51294E+05
       0.0000      36101.3570         0.52098E+05
       0.0000      36133.6192         0.52921E+05
       0.0000      36165.8814         0.53763E+05
       0.0000      36198.1435         0.54625E+05
       0.0000      36230.4057         0.55508E+05
       0.0000      36262.6678         0.56412E+05
       0.0000      36294.9300         0.57337E+05
       0.0000      36327.1922         0.58286E+05
       0.0000      36359.4543         0.59258E+05
       0.0000      36391.7165         0.60255E+05
       0.0000      36423.9786         0.61276E+05
       0.0000      36456.2408         0.62325E+05
       0.0000      36488.5030         0.63400E+05
       0.0000      36520.7651         0.64503E+05
       0.0000      36553.0273         0.65636E+05
       0.0000      36585.2894         0.66799E+05
       0.0000      36617.5516         0.67994E+05
       0.0000      36649.8138         0.69221E+05
       0.0000      36682.0759         0.70483E+05
       0.0000      36714.3381         0.71779E+05
       0.0000      36746.6002         0.73113E+05
       0.0000      36778.8624         0.74485E+05
       0.0000      36811.1246         0.75896E+05
       0.0000      36843.3867         0.77348E+05
       0.0000      36875.6489         0.78844E+05
       0.0000      36907.9110         0.80384E+05
       0.0000      36940.1732         0.81970E+05
       0.0000      36972.4354         0.83605E+05
       0.0000      37004.6975         0.85290E+05
       0.0000      37036.9597         0.87027E+05
       0.0000      37069.2218         0.88818E+05
       0.0000      37101.4840         0.90666E+05
       0.0000      37133.7462         0.92572E+05
       0.0000      37166.0083         0.94539E+05
       0.0000      37198.2705         0.96570E+05
       0.0000      37230.5326         0.98667E+05
       0.0000      37262.7948         0.10083E+06
       0.0000      37295.0570         0.10307E+06
       0.0000      37327.3191         0.10538E+06
       0.0000      37359.5813         0.10776E+06
       0.0000      37391.8434         0.11023E+06
       0.0000      37424.1056         0.11278E+06
       0.0000      37456.3678         0.11541E+06
       0.0000      37488.6299         0.11813E+06
       0.0000      37520.8921         0.12094E+06
       0.0000      37553.1542         0.12385E+06
       0.0000      37585.4164         0.12685E+06
       0.0000      37617.6786         0.12995E+06
       0.0000      37649.9407         0.13316E+06
       0.0000      37682.2029         0.13647E+06
       0.0000      37714.4650         0.13989E+06
       0.0000      37746.7272         0.14343E+06
       0.0000      37778.9894         0.14708E+06
       0.0000      37811.2515         0.15085E+06
       0.0000      37843.5137         0.15474E+06
       0.0000      37875.7758         0.15876E+06
       0.0000      37908.0380         0.16290E+06
       0.0000      37940.3002         0.16718E+06
       0.0000      37972.5623         0.17158E+06
       0.0000      38004.8245         0.17612E+06
       0.0000      38037.0866         0.18080E+06
       0.0000      38069.3488         0.18562E+06
       0.0000      38101.6110         0.19058E+06
       0.0000      38133.8731         0.19568E+06
       0.0000      38166.1353         0.20092E+06
       0.0000      38198.3974         0.20631E+06
       0.0000      38230.6596         0.21184E+06
       0.0000      38262.9218         0.21752E+06
       0.0000      38295.1839         0.22335E+06
       0.0000      38327.4461         0.22933E+06
       0.0000      38359.7082         0.23545E+06
       0.0000      38391.9704         0.24171E+06
       0.0000      38424.2326         0.24812E+06
       0.0000      38456.4947         0.25467E+06
       0.0000      38488.7569         0.26137E+06
       0.0000      38521.0190         0.26820E+06
       0.0000      38553.2812         0.27517E+06
       0.0000      38585.5434         0.28227E+06
       0.0000      38617.8055         0.28951E+06
       0.0000      38650.0677         0.29686E+06
       0.0000      38682.3298         0.30435E+06
       0.0000      38714.5920         0.31195E+06
       0.0000      38746.8542         0.31966E+06
       0.0000      38779.1163         0.32748E+06
       0.0000      38811.3785         0.33541E+06
       0.0000      38843.6406         0.34344E+06
       0.0000      38875.9028         0.35155E+06
       0.0000      38908.1650         0.35975E+06
       0.0000      38940.4271         0.36804E+06
       0.0000      38972.6893         0.37639E+06
       0.0000      39004.9514         0.38481E+06
       0.0000      39037.2136         0.39329E+06
       0.0000      39069.4758         0.40183E+06
       0.0000      39101.7379         0.41041E+06
       0.0000      39134.0001         0.41903E+06
       0.0000      39166.2622         0.42768E+06
       0.0000      39198.5244         0.43636E+06
       0.0000      39230.7866         0.44506E+06
       0.0000      39263.0487         0.45377E+06
       0.0000      39295.3109         0.46248E+06
       0.0000      39327.5730         0.47120E+06
       0.0000      39359.8352         0.47991E+06
       0.0000      39392.0974         0.48860E+06
       0.0000      39424.3595         0.49728E+06
       0.0000      39456.6217         0.50594E+06
       0.0000      39488.8838         0.51456E+06
       0.0000      39521.1460         0.52316E+06
       0.0000      39553.4082         0.53172E+06
       0.0000      39585.6703         0.54024E+06
       0.0000      39617.9325         0.54871E+06
       0.0000      39650.1946         0.55714E+06
       0.0000      39682.4568         0.56552E+06
       0.0000      39714.7190         0.57384E+06
       0.0000      39746.9811         0.58212E+06
       0.0000      39779.2433         0.59034E+06
       0.0000      39811.5054         0.59850E+06
       0.0000      39843.7676         0.60660E+06
       0.0000      39876.0298         0.61465E+06
       0.0000      39908.2919         0.62264E+06
       0.0000      39940.5541         0.63057E+06
       0.0000      39972.8162         0.63844E+06
       0.0000      40005.0784         0.64625E+06
       0.0000      40037.3406         0.65401E+06
       0.0000      40069.6027         0.66171E+06
       0.0000      40101.8649         0.66936E+06
       0.0000      40134.1270         0.67695E+06
       0.0000      40166.3892         0.68449E+06
       0.0000      40198.6514         0.69198E+06
       0.0000      40230.9135         0.69941E+06
       0.0000      40263.1757         0.70680E+06
       0.0000      40295.4378         0.71413E+06
       0.0000      40327.7000         0.72141E+06
       0.0000      40359.9622         0.72864E+06
       0.0000      40392.2243         0.73582E+06
       0.0000      40424.4865         0.74295E+06
       0.0000      40456.7486         0.75003E+06
       0.0000      40489.0108         0.75705E+06
       0.0000      40521.2730         0.76403E+06
       0.0000      40553.5351         0.77094E+06
       0.0000      40585.7973         0.77780E+06
       0.0000      40618.0594         0.78460E+06
       0.0000      40650.3216         0.79134E+06
       0.0000      40682.5838         0.79801E+06
       0.0000      40714.8459         0.80461E+06
       0.0000      40747.1081         0.81115E+06
       0.0000      40779.3702         0.81760E+06
       0.0000      40811.6324         0.82397E+06
       0.0000      40843.8946         0.83026E+06
       0.0000      40876.1567         0.83646E+06
       0.0000      40908.4189         0.84257E+06
       0.0000      40940.6810         0.84857E+06
       0.0000      40972.9432         0.85447E+06
       0.0000      41005.2054         0.86026E+06
       0.0000      41037.4675         0.86594E+06
       0.0000      41069.7297         0.87149E+06
       0.0000      41101.9918         0.87692E+06
       0.0000      41134.2540         0.88221E+06
       0.0000      41166.5162         0.88737E+06
       0.0000      41198.7783         0.89238E+06
       0.0000      41231.0405         0.89725E+06
       0.0000      41263.3026         0.90197E+06
       0.0000      41295.5648         0.90653E+06
       0.0000      41327.8270         0.91094E+06
       0.0000      41360.0891         0.91517E+06
       0.0000      41392.3513         0.91925E+06
       0.0000      41424.6134         0.92315E+06
       0.0000      41456.8756         0.92687E+06
       0.0000      41489.1378         0.93043E+06
       0.0000      41521.3999         0.93380E+06
       0.0000      41553.6621         0.93700E+06
       0.0000      41585.9242         0.94002E+06
       0.0000      41618.1864         0.94285E+06
       0.0000      41650.4486         0.94551E+06
       0.0000      41682.7107         0.94798E+06
       0.0000      41714.9729         0.95028E+06
       0.0000      41747.2350         0.95239E+06
       0.0000      41779.4972         0.95433E+06
       0.0000      41811.7594         0.95609E+06
       0.0000      41844.0215         0.95768E+06
       0.0000      41876.2837         0.95910E+06
       0.0000      41908.5458         0.96035E+06
       0.0000      41940.8080         0.96143E+06
       0.0000      41973.0702         0.96235E+06
       0.0000      42005.3323         0.96310E+06
       0.0000      42037.5945         0.96371E+06
       0.0000      42069.8566         0.96416E+06
       0.0000      42102.1188         0.96446E+06
       0.0000      42134.3810         0.96461E+06
       0.0000      42166.6431         0.96462E+06
       0.0000      42198.9053         0.96450E+06
       0.0000      42231.1674         0.96424E+06
       0.0000      42263.4296         0.96385E+06
       0.0000      42295.6918         0.96333E+06
       0.0000      42327.9539         0.96269E+06
       0.0000      42360.2161         0.96193E+06
       0.0000      42392.4782         0.96105E+06
       0.0000      42424.7404         0.96005E+06
       0.0000      42457.0026         0.95895E+06
       0.0000      42489.2647         0.95774E+06
       0.0000      42521.5269         0.95642E+06
       0.0000      42553.7890         0.95500E+06
       0.0000      42586.0512         0.95347E+06
       0.0000      42618.3134         0.95185E+06
       0.0000      42650.5755         0.95013E+06
       0.0000      42682.8377         0.94831E+06
       0.0000      42715.0998         0.94640E+06
       0.0000      42747.3620         0.94440E+06
       0.0000      42779.6242         0.94230E+06
       0.0000      42811.8863         0.94011E+06
       0.0000      42844.1485         0.93784E+06
       0.0000      42876.4106         0.93547E+06
       0.0000      42908.6728         0.93301E+06
       0.0000      42940.9350         0.93047E+06
       0.0000      42973.1971         0.92783E+06
       0.0000      43005.4593         0.92511E+06
       0.0000      43037.7214         0.92231E+06
       0.0000      43069.9836         0.91941E+06
       0.0000      43102.2458         0.91643E+06
       0.0000      43134.5079         0.91337E+06
       0.0000      43166.7701         0.91022E+06
       0.0000      43199.0322         0.90698E+06
       0.0000      43231.2944         0.90366E+06
       0.0000      43263.5566         0.90026E+06
       0.0000      43295.8187         0.89677E+06
       0.0000      43328.0809         0.89320E+06
       0.0000      43360.3430         0.88955E+06
       0.0000      43392.6052         0.88582E+06
       0.0000      43424.8674         0.88201E+06
       0.0000      43457.1295         0.87813E+06
       0.0000      43489.3917         0.87417E+06
       0.0000      43521.6538         0.87013E+06
       0.0000      43553.9160         0.86602E+06
       0.0000      43586.1782         0.86184E+06
       0.0000      43618.4403         0.85759E+06
       0.0000      43650.7025         0.85327E+06
       0.0000      43682.9646         0.84889E+06
       0.0000      43715.2268         0.84445E+06
       0.0000      43747.4890         0.83994E+06
       0.0000      43779.7511         0.83537E+06
       0.0000      43812.0133         0.83075E+06
       0.0000      43844.2754         0.82607E+06
       0.0000      43876.5376         0.82135E+06
       0.0000      43908.7998         0.81657E+06
       0.0000      43941.0619         0.81174E+06
       0.0000      43973.3241         0.80687E+06
       0.0000      44005.5862         0.80196E+06
       0.0000      44037.8484         0.79701E+06
       0.0000      44070.1106         0.79203E+06
       0.0000      44102.3727         0.78701E+06
       0.0000      44134.6349         0.78195E+06
       0.0000      44166.8970         0.77687E+06
       0.0000      44199.1592         0.77176E+06
       0.0000      44231.4214         0.76663E+06
       0.0000      44263.6835         0.76147E+06
       0.0000      44295.9457         0.75629E+06
       0.0000      44328.2078         0.75109E+06
       0.0000      44360.4700         0.74588E+06
       0.0000      44392.7322         0.74065E+06
       0.0000      44424.9943         0.73541E+06
       0.0000      44457.2565         0.73015E+06
       0.0000      44489.5186         0.72489E+06
       0.0000      44521.7808         0.71962E+06
       0.0000      44554.0430         0.71434E+06
       0.0000      44586.3051         0.70906E+06
       0.0000      44618.5673         0.70378E+06
       0.0000      44650.8294         0.69849E+06
       0.0000      44683.0916         0.69320E+06
       0.0000      44715.3538         0.68791E+06
       0.0000      44747.6159         0.68263E+06
       0.0000      44779.8781         0.67734E+06
       0.0000      44812.1402         0.67206E+06
       0.0000      44844.4024         0.66678E+06
       0.0000      44876.6646         0.66151E+06
       0.0000      44908.9267         0.65625E+06
       0.0000      44941.1889         0.65099E+06
       0.0000      44973.4510         0.64574E+06
       0.0000      45005.7132         0.64050E+06
       0.0000      45037.9754         0.63527E+06
       0.0000      45070.2375         0.63005E+06
       0.0000      45102.4997         0.62484E+06
       0.0000      45134.7618         0.61964E+06
       0.0000      45167.0240         0.61445E+06
       0.0000      45199.2862         0.60928E+06
       0.0000      45231.5483         0.60412E+06
       0.0000      45263.8105         0.59898E+06
       0.0000      45296.0726         0.59385E+06
       0.0000      45328.3348         0.58874E+06
       0.0000      45360.5970         0.58365E+06
       0.0000      45392.8591         0.57857E+06
       0.0000      45425.1213         0.57351E+06
       0.0000      45457.3834         0.56847E+06
       0.0000      45489.6456         0.56345E+06
       0.0000      45521.9078         0.55846E+06
       0.0000      45554.1699         0.55348E+06
       0.0000      45586.4321         0.54852E+06
       0.0000      45618.6942         0.54359E+06
       0.0000      45650.9564         0.53868E+06
       0.0000      45683.2186         0.53380E+06
       0.0000      45715.4807         0.52894E+06
       0.0000      45747.7429         0.52410E+06
       0.0000      45780.0050         0.51930E+06
       0.0000      45812.2672         0.51451E+06
       0.0000      45844.5294         0.50976E+06
       0.0000      45876.7915         0.50503E+06
       0.0000      45909.0537         0.50033E+06
       0.0000      45941.3158         0.49566E+06
       0.0000      45973.5780         0.49102E+06
       0.0000      46005.8402         0.48641E+06
       0.0000      46038.1023         0.48183E+06
       0.0000      46070.3645         0.47729E+06
       0.0000      46102.6266         0.47277E+06
       0.0000      46134.8888         0.46828E+06
       0.0000      46167.1510         0.46383E+06
       0.0000      46199.4131         0.45941E+06
       0.0000      46231.6753         0.45502E+06
       0.0000      46263.9374         0.45067E+06
       0.0000      46296.1996         0.44634E+06
       0.0000      46328.4618         0.44206E+06
       0.0000      46360.7239         0.43780E+06
       0.0000      46392.9861         0.43358E+06
       0.0000      46425.2482         0.42940E+06
       0.0000      46457.5104         0.42525E+06
       0.0000      46489.7726         0.42113E+06
       0.0000      46522.0347         0.41705E+06
       0.0000      46554.2969         0.41300E+06
       0.0000      46586.5590         0.40899E+06
       0.0000      46618.8212         0.40501E+06
       0.0000      46651.0834         0.40107E+06
       0.0000      46683.3455         0.39716E+06
       0.0000      46715.6077         0.39329E+06
       0.0000      46747.8698         0.38946E+06
       0.0000      46780.1320         0.38566E+06
       0.0000      46812.3942         0.38189E+06
       0.0000      46844.6563         0.37816E+06
       0.0000      46876.9185         0.37446E+06
       0.0000      46909.1806         0.37080E+06
       0.0000      46941.4428         0.36718E+06
       0.0000      46973.7050         0.36359E+06
       0.0000      47005.9671         0.36003E+06
       0.0000      47038.2293         0.35651E+06
       0.0000      47070.4914         0.35302E+06
       0.0000      47102.7536         0.34957E+06
       0.0000      47135.0158         0.34615E+06
       0.0000      47167.2779         0.34277E+06
       0.0000      47199.5401         0.33942E+06
       0.0000      47231.8022         0.33611E+06
       0.0000      47264.0644         0.33283E+06
       0.0000      47296.3266         0.32958E+06
       0.0000      47328.5887         0.32637E+06
       0.0000      47360.8509         0.32319E+06
       0.0000      47393.1130         0.32004E+06
       0.0000      47425.3752         0.31693E+06
       0.0000      47457.6374         0.31385E+06
       0.0000      47489.8995         0.31081E+06
       0.0000      47522.1617         0.30779E+06
       0.0000      47554.4238         0.30481E+06
       0.0000      47586.6860         0.30187E+06
