# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.79438E+04
       0.0000      32294.4222         0.80080E+04
       0.0000      32326.6843         0.80728E+04
       0.0000      32358.9465         0.81383E+04
       0.0000      32391.2086         0.82044E+04
       0.0000      32423.4708         0.82712E+04
       0.0000      32455.7330         0.83387E+04
       0.0000      32487.9951         0.84070E+04
       0.0000      32520.2573         0.84759E+04
       0.0000      32552.5194         0.85455E+04
       0.0000      32584.7816         0.86159E+04
       0.0000      32617.0438         0.86870E+04
       0.0000      32649.3059         0.87588E+04
       0.0000      32681.5681         0.88314E+04
       0.0000      32713.8302         0.89048E+04
       0.0000      32746.0924         0.89789E+04
       0.0000      32778.3546         0.90539E+04
       0.0000      32810.6167         0.91296E+04
       0.0000      32842.8789         0.92061E+04
       0.0000      32875.1410         0.92835E+04
       0.0000      32907.4032         0.93616E+04
       0.0000      32939.6654         0.94407E+04
       0.0000      32971.9275         0.95205E+04
       0.0000      33004.1897         0.96013E+04
       0.0000      33036.4518         0.96829E+04
       0.0000      33068.7140         0.97653E+04
       0.0000      33100.9762         0.98487E+04
       0.0000      33133.2383         0.99330E+04
       0.0000      33165.5005         0.10018E+05
       0.0000      33197.7626         0.10104E+05
       0.0000      33230.0248         0.10192E+05
       0.0000      33262.2870         0.10280E+05
       0.0000      33294.5491         0.10369E+05
       0.0000      33326.8113         0.10459E+05
       0.0000      33359.0734         0.10550E+05
       0.0000      33391.3356         0.10642E+05
       0.0000      33423.5978         0.10735E+05
       0.0000      33455.8599         0.10829E+05
       0.0000      33488.1221         0.10924E+05
       0.0000      33520.3842         0.11020E+05
       0.0000      33552.6464         0.11118E+05
       0.0000      33584.9086         0.11216E+05
       0.0000      33617.1707         0.11316E+05
       0.0000      33649.4329         0.11416E+05
       0.0000      33681.6950         0.11518E+05
       0.0000      33713.9572         0.11621E+05
       0.0000      33746.2194         0.11726E+05
       0.0000      33778.4815         0.11831E+05
       0.0000      33810.7437         0.11938E+05
       0.0000      33843.0058         0.12046E+05
