# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.44167E+04
       0.0000      32294.4222         0.45793E+04
       0.0000      32326.6843         0.47435E+04
       0.0000      32358.9465         0.49092E+04
       0.0000      32391.2086         0.50762E+04
       0.0000      32423.4708         0.52442E+04
       0.0000      32455.7330         0.54132E+04
       0.0000      32487.9951         0.55829E+04
       0.0000      32520.2573         0.57532E+04
       0.0000      32552.5194         0.59239E+04
       0.0000      32584.7816         0.60949E+04
       0.0000      32617.0438         0.62659E+04
       0.0000      32649.3059         0.64368E+04
       0.0000      32681.5681         0.66075E+04
       0.0000      32713.8302         0.67778E+04
       0.0000      32746.0924         0.69476E+04
       0.0000      32778.3546         0.71167E+04
       0.0000      32810.6167         0.72851E+04
       0.0000      32842.8789         0.74526E+04
       0.0000      32875.1410         0.76190E+04
       0.0000      32907.4032         0.77845E+04
       0.0000      32939.6654         0.79487E+04
       0.0000      32971.9275         0.81117E+04
       0.0000      33004.1897         0.82734E+04
       0.0000      33036.4518         0.84338E+04
       0.0000      33068.7140         0.85928E+04
       0.0000      33100.9762         0.87503E+04
       0.0000      33133.2383         0.89063E+04
       0.0000      33165.5005         0.90609E+04
       0.0000      33197.7626         0.92141E+04
       0.0000      33230.0248         0.93657E+04
       0.0000      33262.2870         0.95159E+04
       0.0000      33294.5491         0.96646E+04
       0.0000      33326.8113         0.98119E+04
       0.0000      33359.0734         0.99579E+04
       0.0000      33391.3356         0.10102E+05
       0.0000      33423.5978         0.10246E+05
       0.0000      33455.8599         0.10388E+05
       0.0000      33488.1221         0.10529E+05
       0.0000      33520.3842         0.10669E+05
       0.0000      33552.6464         0.10807E+05
       0.0000      33584.9086         0.10945E+05
       0.0000      33617.1707         0.11082E+05
       0.0000      33649.4329         0.11219E+05
       0.0000      33681.6950         0.11354E+05
       0.0000      33713.9572         0.11489E+05
       0.0000      33746.2194         0.11623E+05
       0.0000      33778.4815         0.11757E+05
       0.0000      33810.7437         0.11891E+05
       0.0000      33843.0058         0.12024E+05
       0.0000      33875.2680         0.12158E+05
       0.0000      33907.5302         0.12291E+05
       0.0000      33939.7923         0.12424E+05
       0.0000      33972.0545         0.12557E+05
       0.0000      34004.3166         0.12691E+05
       0.0000      34036.5788         0.12825E+05
       0.0000      34068.8410         0.12959E+05
       0.0000      34101.1031         0.13094E+05
       0.0000      34133.3653         0.13229E+05
       0.0000      34165.6274         0.13365E+05
       0.0000      34197.8896         0.13501E+05
       0.0000      34230.1518         0.13639E+05
       0.0000      34262.4139         0.13777E+05
       0.0000      34294.6761         0.13917E+05
       0.0000      34326.9382         0.14057E+05
       0.0000      34359.2004         0.14199E+05
       0.0000      34391.4626         0.14341E+05
       0.0000      34423.7247         0.14485E+05
       0.0000      34455.9869         0.14631E+05
       0.0000      34488.2490         0.14777E+05
       0.0000      34520.5112         0.14925E+05
       0.0000      34552.7734         0.15075E+05
       0.0000      34585.0355         0.15226E+05
       0.0000      34617.2977         0.15379E+05
       0.0000      34649.5598         0.15534E+05
       0.0000      34681.8220         0.15690E+05
       0.0000      34714.0842         0.15848E+05
       0.0000      34746.3463         0.16008E+05
       0.0000      34778.6085         0.16170E+05
       0.0000      34810.8706         0.16334E+05
       0.0000      34843.1328         0.16500E+05
       0.0000      34875.3950         0.16668E+05
       0.0000      34907.6571         0.16838E+05
       0.0000      34939.9193         0.17010E+05
       0.0000      34972.1814         0.17185E+05
       0.0000      35004.4436         0.17362E+05
       0.0000      35036.7058         0.17541E+05
       0.0000      35068.9679         0.17722E+05
       0.0000      35101.2301         0.17906E+05
       0.0000      35133.4922         0.18092E+05
       0.0000      35165.7544         0.18281E+05
       0.0000      35198.0166         0.18473E+05
       0.0000      35230.2787         0.18667E+05
       0.0000      35262.5409         0.18864E+05
       0.0000      35294.8030         0.19063E+05
       0.0000      35327.0652         0.19266E+05
       0.0000      35359.3274         0.19471E+05
       0.0000      35391.5895         0.19679E+05
       0.0000      35423.8517         0.19890E+05
       0.0000      35456.1138         0.20104E+05
       0.0000      35488.3760         0.20321E+05
       0.0000      35520.6382         0.20542E+05
       0.0000      35552.9003         0.20765E+05
       0.0000      35585.1625         0.20992E+05
       0.0000      35617.4246         0.21222E+05
       0.0000      35649.6868         0.21456E+05
       0.0000      35681.9490         0.21693E+05
       0.0000      35714.2111         0.21934E+05
       0.0000      35746.4733         0.22178E+05
       0.0000      35778.7354         0.22426E+05
