 # Mode   Huang-Rhys factor
           1 -0.982593344674968     
           2 -5.072831386228867E-004
           3   6.20457985938753     
           4  0.747194194535125     
           5  0.143552714415766     
           6   1.11494838746552     
           7  0.178708953817444     
           8  0.376995540316058     
           9  5.515172519241546E-002
          10  4.286196340552578E-002
          11  0.164116513908505     
          12  0.874156576986760     
          13  0.404846262664088     
          14  0.937887832302334     
          15  3.143525428810751E-004
          16  8.405236036989283E-003
          17  2.143267664415551E-002
          18  0.355091705575555     
          19  5.360466761956429E-005
          20   1.65746955924588     
          21  5.957907948440895E-003
          22  8.016396087390187E-002
          23  3.053173852449314E-004
          24  7.892367583568399E-004
          25  0.114312869504039     
          26  0.410453157378303     
          27  1.061160277476223E-002
          28  3.818200879608636E-002
          29  9.491504894444558E-002
          30  7.097839282348793E-005
          31  0.272201881948628     
          32  0.362639407714338     
          33  0.812987910913091     
          34  2.192183790606611E-002
          35  1.371549080453540E-002
          36  1.968646150885996E-002
          37  1.023792996270301E-002
          38  2.152889824337297E-002
          39  2.130359958604934E-003
