# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.11003E+05
       0.0000      32294.4222         0.11098E+05
       0.0000      32326.6843         0.11194E+05
       0.0000      32358.9465         0.11292E+05
       0.0000      32391.2086         0.11390E+05
       0.0000      32423.4708         0.11490E+05
       0.0000      32455.7330         0.11591E+05
       0.0000      32487.9951         0.11693E+05
       0.0000      32520.2573         0.11797E+05
       0.0000      32552.5194         0.11901E+05
       0.0000      32584.7816         0.12007E+05
       0.0000      32617.0438         0.12114E+05
       0.0000      32649.3059         0.12222E+05
       0.0000      32681.5681         0.12332E+05
       0.0000      32713.8302         0.12442E+05
       0.0000      32746.0924         0.12555E+05
       0.0000      32778.3546         0.12668E+05
       0.0000      32810.6167         0.12783E+05
       0.0000      32842.8789         0.12899E+05
       0.0000      32875.1410         0.13017E+05
       0.0000      32907.4032         0.13136E+05
       0.0000      32939.6654         0.13257E+05
       0.0000      32971.9275         0.13379E+05
       0.0000      33004.1897         0.13502E+05
       0.0000      33036.4518         0.13627E+05
       0.0000      33068.7140         0.13754E+05
       0.0000      33100.9762         0.13882E+05
       0.0000      33133.2383         0.14012E+05
       0.0000      33165.5005         0.14143E+05
       0.0000      33197.7626         0.14277E+05
       0.0000      33230.0248         0.14411E+05
       0.0000      33262.2870         0.14548E+05
       0.0000      33294.5491         0.14686E+05
       0.0000      33326.8113         0.14826E+05
       0.0000      33359.0734         0.14968E+05
       0.0000      33391.3356         0.15112E+05
       0.0000      33423.5978         0.15257E+05
       0.0000      33455.8599         0.15405E+05
       0.0000      33488.1221         0.15554E+05
       0.0000      33520.3842         0.15706E+05
       0.0000      33552.6464         0.15859E+05
       0.0000      33584.9086         0.16014E+05
       0.0000      33617.1707         0.16172E+05
       0.0000      33649.4329         0.16332E+05
       0.0000      33681.6950         0.16493E+05
       0.0000      33713.9572         0.16657E+05
       0.0000      33746.2194         0.16824E+05
       0.0000      33778.4815         0.16992E+05
       0.0000      33810.7437         0.17163E+05
       0.0000      33843.0058         0.17336E+05
       0.0000      33875.2680         0.17511E+05
       0.0000      33907.5302         0.17689E+05
       0.0000      33939.7923         0.17870E+05
       0.0000      33972.0545         0.18053E+05
       0.0000      34004.3166         0.18239E+05
       0.0000      34036.5788         0.18427E+05
       0.0000      34068.8410         0.18618E+05
       0.0000      34101.1031         0.18812E+05
       0.0000      34133.3653         0.19008E+05
       0.0000      34165.6274         0.19207E+05
       0.0000      34197.8896         0.19410E+05
       0.0000      34230.1518         0.19615E+05
       0.0000      34262.4139         0.19823E+05
       0.0000      34294.6761         0.20035E+05
       0.0000      34326.9382         0.20249E+05
       0.0000      34359.2004         0.20467E+05
       0.0000      34391.4626         0.20688E+05
       0.0000      34423.7247         0.20913E+05
       0.0000      34455.9869         0.21141E+05
       0.0000      34488.2490         0.21372E+05
       0.0000      34520.5112         0.21607E+05
       0.0000      34552.7734         0.21846E+05
       0.0000      34585.0355         0.22088E+05
       0.0000      34617.2977         0.22334E+05
       0.0000      34649.5598         0.22584E+05
       0.0000      34681.8220         0.22838E+05
       0.0000      34714.0842         0.23097E+05
       0.0000      34746.3463         0.23359E+05
       0.0000      34778.6085         0.23626E+05
       0.0000      34810.8706         0.23897E+05
       0.0000      34843.1328         0.24173E+05
       0.0000      34875.3950         0.24453E+05
       0.0000      34907.6571         0.24738E+05
       0.0000      34939.9193         0.25027E+05
       0.0000      34972.1814         0.25322E+05
       0.0000      35004.4436         0.25622E+05
       0.0000      35036.7058         0.25927E+05
       0.0000      35068.9679         0.26237E+05
       0.0000      35101.2301         0.26553E+05
       0.0000      35133.4922         0.26874E+05
       0.0000      35165.7544         0.27201E+05
       0.0000      35198.0166         0.27534E+05
       0.0000      35230.2787         0.27873E+05
       0.0000      35262.5409         0.28218E+05
       0.0000      35294.8030         0.28570E+05
       0.0000      35327.0652         0.28928E+05
       0.0000      35359.3274         0.29293E+05
       0.0000      35391.5895         0.29665E+05
       0.0000      35423.8517         0.30045E+05
       0.0000      35456.1138         0.30431E+05
       0.0000      35488.3760         0.30825E+05
       0.0000      35520.6382         0.31227E+05
       0.0000      35552.9003         0.31637E+05
       0.0000      35585.1625         0.32055E+05
       0.0000      35617.4246         0.32482E+05
       0.0000      35649.6868         0.32917E+05
       0.0000      35681.9490         0.33362E+05
       0.0000      35714.2111         0.33815E+05
       0.0000      35746.4733         0.34279E+05
       0.0000      35778.7354         0.34752E+05
       0.0000      35810.9976         0.35234E+05
       0.0000      35843.2598         0.35728E+05
       0.0000      35875.5219         0.36231E+05
       0.0000      35907.7841         0.36746E+05
       0.0000      35940.0462         0.37271E+05
       0.0000      35972.3084         0.37808E+05
       0.0000      36004.5706         0.38356E+05
       0.0000      36036.8327         0.38916E+05
       0.0000      36069.0949         0.39487E+05
       0.0000      36101.3570         0.40071E+05
       0.0000      36133.6192         0.40667E+05
       0.0000      36165.8814         0.41276E+05
       0.0000      36198.1435         0.41898E+05
       0.0000      36230.4057         0.42532E+05
       0.0000      36262.6678         0.43180E+05
       0.0000      36294.9300         0.43841E+05
       0.0000      36327.1922         0.44516E+05
       0.0000      36359.4543         0.45205E+05
       0.0000      36391.7165         0.45908E+05
       0.0000      36423.9786         0.46625E+05
       0.0000      36456.2408         0.47357E+05
       0.0000      36488.5030         0.48104E+05
       0.0000      36520.7651         0.48866E+05
       0.0000      36553.0273         0.49644E+05
       0.0000      36585.2894         0.50436E+05
       0.0000      36617.5516         0.51245E+05
       0.0000      36649.8138         0.52070E+05
       0.0000      36682.0759         0.52911E+05
       0.0000      36714.3381         0.53769E+05
       0.0000      36746.6002         0.54643E+05
       0.0000      36778.8624         0.55534E+05
       0.0000      36811.1246         0.56442E+05
       0.0000      36843.3867         0.57367E+05
       0.0000      36875.6489         0.58309E+05
       0.0000      36907.9110         0.59270E+05
       0.0000      36940.1732         0.60247E+05
       0.0000      36972.4354         0.61243E+05
       0.0000      37004.6975         0.62257E+05
       0.0000      37036.9597         0.63288E+05
       0.0000      37069.2218         0.64338E+05
       0.0000      37101.4840         0.65407E+05
       0.0000      37133.7462         0.66493E+05
       0.0000      37166.0083         0.67599E+05
       0.0000      37198.2705         0.68723E+05
       0.0000      37230.5326         0.69865E+05
       0.0000      37262.7948         0.71027E+05
       0.0000      37295.0570         0.72208E+05
       0.0000      37327.3191         0.73408E+05
       0.0000      37359.5813         0.74627E+05
       0.0000      37391.8434         0.75866E+05
       0.0000      37424.1056         0.77124E+05
       0.0000      37456.3678         0.78402E+05
       0.0000      37488.6299         0.79700E+05
       0.0000      37520.8921         0.81018E+05
       0.0000      37553.1542         0.82356E+05
       0.0000      37585.4164         0.83715E+05
       0.0000      37617.6786         0.85093E+05
       0.0000      37649.9407         0.86493E+05
       0.0000      37682.2029         0.87912E+05
       0.0000      37714.4650         0.89353E+05
       0.0000      37746.7272         0.90814E+05
       0.0000      37778.9894         0.92296E+05
       0.0000      37811.2515         0.93799E+05
       0.0000      37843.5137         0.95323E+05
       0.0000      37875.7758         0.96868E+05
       0.0000      37908.0380         0.98434E+05
       0.0000      37940.3002         0.10002E+06
       0.0000      37972.5623         0.10163E+06
       0.0000      38004.8245         0.10326E+06
       0.0000      38037.0866         0.10491E+06
       0.0000      38069.3488         0.10658E+06
       0.0000      38101.6110         0.10827E+06
       0.0000      38133.8731         0.10999E+06
       0.0000      38166.1353         0.11172E+06
       0.0000      38198.3974         0.11347E+06
