# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.5000  eV
#     vib freq     dsigma/dOmega
       0.0000         0.47464E+06
     223.1463         0.12672E+04
     113.4374         0.16938E+00
      78.2358         0.98590E+03
     142.0779         0.39120E+03
     176.8731         0.11641E+03
     219.8303         0.13956E+04
     266.7059         0.32895E+03
     335.7808         0.10982E+04
     419.9161         0.25071E+03
     485.4175         0.25987E+03
     486.7389         0.10004E+04
     524.8163         0.61874E+04
     567.4072         0.33447E+04
     580.7301         0.81129E+04
     704.5081         0.39830E+01
     768.0892         0.12625E+03
     776.2327         0.32866E+03
     879.4671         0.69561E+04
     888.8480         0.10721E+01
     929.0749         0.36144E+05
     989.6910         0.14695E+03
    1043.5295         0.21916E+04
    1068.6028         0.87401E+01
    1118.6413         0.24684E+02
    1246.6347         0.44035E+04
    1340.0370         0.18149E+05
    1390.9075         0.50362E+03
    1480.1131         0.20378E+04
    1567.2517         0.56390E+04
    1643.8221         0.46083E+01
    1672.9952         0.18258E+05
    1882.5762         0.30185E+05
    2078.9149         0.80798E+05
    3148.3230         0.42804E+04
    3186.1962         0.27244E+04
    3299.9859         0.41080E+04
    3782.5612         0.25452E+04
    3937.4564         0.56022E+04
    4012.7130         0.56583E+03
