# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.0400  eV
#     vib freq     dsigma/dOmega
       0.0000         0.47267E+01
     103.0434         0.54113E-03
     116.0773         0.39383E-03
     142.1596         0.44657E-03
     276.3308         0.10186E-02
     282.0742         0.40880E-04
     351.1583         0.22572E-04
     387.3646         0.29034E-01
     458.5690         0.29103E-03
     541.1642         0.49446E-01
     561.5607         0.26580E-03
     604.6019         0.63722E-01
     654.1556         0.12325E-02
     702.9001         0.24180E-02
     738.4719         0.13031E-04
     748.3808         0.86725E-01
     811.3490         0.98170E-01
     878.6794         0.11719E-05
     983.1645         0.56667E-01
    1043.4377         0.52676E-01
    1082.9667         0.23825E-03
    1177.8232         0.55484E-01
    1225.1806         0.11012E+00
    1281.1479         0.20933E+00
    1402.4451         0.13508E+00
    1414.7081         0.49528E+00
    1443.5802         0.11623E-01
    1468.5645         0.29524E-02
    1523.5031         0.57779E-01
    1528.4404         0.14798E-02
    1554.8926         0.43764E-03
    1728.5579         0.41441E+00
    1773.8562         0.42027E+00
    1832.6657         0.13435E-01
    3135.4970         0.79394E-03
    3229.9180         0.26344E-05
    3237.1486         0.21412E-03
    3289.2856         0.11640E-01
    3664.9553         0.91094E-03
    3714.5908         0.11394E-01
