# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.12886E+00
       0.0000      32294.4222         0.13037E+00
       0.0000      32326.6843         0.13191E+00
       0.0000      32358.9465         0.13347E+00
       0.0000      32391.2086         0.13506E+00
       0.0000      32423.4708         0.13667E+00
       0.0000      32455.7330         0.13831E+00
       0.0000      32487.9951         0.13997E+00
       0.0000      32520.2573         0.14166E+00
       0.0000      32552.5194         0.14337E+00
       0.0000      32584.7816         0.14512E+00
       0.0000      32617.0438         0.14689E+00
       0.0000      32649.3059         0.14869E+00
       0.0000      32681.5681         0.15052E+00
       0.0000      32713.8302         0.15238E+00
       0.0000      32746.0924         0.15427E+00
       0.0000      32778.3546         0.15620E+00
       0.0000      32810.6167         0.15815E+00
       0.0000      32842.8789         0.16014E+00
       0.0000      32875.1410         0.16216E+00
       0.0000      32907.4032         0.16421E+00
       0.0000      32939.6654         0.16630E+00
       0.0000      32971.9275         0.16843E+00
       0.0000      33004.1897         0.17059E+00
       0.0000      33036.4518         0.17279E+00
       0.0000      33068.7140         0.17503E+00
       0.0000      33100.9762         0.17730E+00
       0.0000      33133.2383         0.17962E+00
       0.0000      33165.5005         0.18198E+00
       0.0000      33197.7626         0.18438E+00
       0.0000      33230.0248         0.18682E+00
       0.0000      33262.2870         0.18930E+00
       0.0000      33294.5491         0.19183E+00
       0.0000      33326.8113         0.19441E+00
       0.0000      33359.0734         0.19703E+00
       0.0000      33391.3356         0.19971E+00
       0.0000      33423.5978         0.20243E+00
       0.0000      33455.8599         0.20520E+00
       0.0000      33488.1221         0.20802E+00
       0.0000      33520.3842         0.21090E+00
       0.0000      33552.6464         0.21383E+00
       0.0000      33584.9086         0.21682E+00
       0.0000      33617.1707         0.21986E+00
       0.0000      33649.4329         0.22297E+00
       0.0000      33681.6950         0.22613E+00
       0.0000      33713.9572         0.22936E+00
       0.0000      33746.2194         0.23265E+00
       0.0000      33778.4815         0.23600E+00
       0.0000      33810.7437         0.23942E+00
       0.0000      33843.0058         0.24291E+00
       0.0000      33875.2680         0.24647E+00
       0.0000      33907.5302         0.25011E+00
       0.0000      33939.7923         0.25381E+00
       0.0000      33972.0545         0.25760E+00
       0.0000      34004.3166         0.26146E+00
       0.0000      34036.5788         0.26540E+00
       0.0000      34068.8410         0.26943E+00
       0.0000      34101.1031         0.27354E+00
       0.0000      34133.3653         0.27774E+00
       0.0000      34165.6274         0.28203E+00
       0.0000      34197.8896         0.28641E+00
       0.0000      34230.1518         0.29089E+00
       0.0000      34262.4139         0.29547E+00
       0.0000      34294.6761         0.30015E+00
       0.0000      34326.9382         0.30494E+00
       0.0000      34359.2004         0.30983E+00
       0.0000      34391.4626         0.31484E+00
       0.0000      34423.7247         0.31996E+00
       0.0000      34455.9869         0.32519E+00
       0.0000      34488.2490         0.33055E+00
       0.0000      34520.5112         0.33604E+00
       0.0000      34552.7734         0.34166E+00
       0.0000      34585.0355         0.34741E+00
       0.0000      34617.2977         0.35330E+00
       0.0000      34649.5598         0.35934E+00
       0.0000      34681.8220         0.36552E+00
       0.0000      34714.0842         0.37186E+00
       0.0000      34746.3463         0.37836E+00
       0.0000      34778.6085         0.38502E+00
       0.0000      34810.8706         0.39185E+00
       0.0000      34843.1328         0.39886E+00
       0.0000      34875.3950         0.40605E+00
       0.0000      34907.6571         0.41344E+00
       0.0000      34939.9193         0.42101E+00
       0.0000      34972.1814         0.42880E+00
       0.0000      35004.4436         0.43679E+00
       0.0000      35036.7058         0.44501E+00
       0.0000      35068.9679         0.45345E+00
       0.0000      35101.2301         0.46213E+00
       0.0000      35133.4922         0.47106E+00
       0.0000      35165.7544         0.48025E+00
       0.0000      35198.0166         0.48970E+00
       0.0000      35230.2787         0.49943E+00
       0.0000      35262.5409         0.50946E+00
       0.0000      35294.8030         0.51978E+00
       0.0000      35327.0652         0.53043E+00
       0.0000      35359.3274         0.54140E+00
       0.0000      35391.5895         0.55272E+00
       0.0000      35423.8517         0.56440E+00
       0.0000      35456.1138         0.57645E+00
       0.0000      35488.3760         0.58890E+00
       0.0000      35520.6382         0.60177E+00
       0.0000      35552.9003         0.61506E+00
       0.0000      35585.1625         0.62882E+00
       0.0000      35617.4246         0.64304E+00
       0.0000      35649.6868         0.65778E+00
       0.0000      35681.9490         0.67303E+00
       0.0000      35714.2111         0.68885E+00
       0.0000      35746.4733         0.70524E+00
       0.0000      35778.7354         0.72226E+00
       0.0000      35810.9976         0.73992E+00
       0.0000      35843.2598         0.75827E+00
       0.0000      35875.5219         0.77735E+00
       0.0000      35907.7841         0.79720E+00
       0.0000      35940.0462         0.81786E+00
       0.0000      35972.3084         0.83938E+00
       0.0000      36004.5706         0.86182E+00
       0.0000      36036.8327         0.88523E+00
       0.0000      36069.0949         0.90968E+00
       0.0000      36101.3570         0.93523E+00
       0.0000      36133.6192         0.96196E+00
       0.0000      36165.8814         0.98994E+00
       0.0000      36198.1435         0.10193E+01
       0.0000      36230.4057         0.10500E+01
       0.0000      36262.6678         0.10823E+01
       0.0000      36294.9300         0.11162E+01
       0.0000      36327.1922         0.11519E+01
       0.0000      36359.4543         0.11894E+01
       0.0000      36391.7165         0.12289E+01
       0.0000      36423.9786         0.12706E+01
       0.0000      36456.2408         0.13146E+01
       0.0000      36488.5030         0.13610E+01
       0.0000      36520.7651         0.14099E+01
       0.0000      36553.0273         0.14616E+01
       0.0000      36585.2894         0.15161E+01
       0.0000      36617.5516         0.15735E+01
       0.0000      36649.8138         0.16339E+01
       0.0000      36682.0759         0.16971E+01
       0.0000      36714.3381         0.17631E+01
       0.0000      36746.6002         0.18315E+01
       0.0000      36778.8624         0.19017E+01
       0.0000      36811.1246         0.19727E+01
       0.0000      36843.3867         0.20434E+01
       0.0000      36875.6489         0.21119E+01
       0.0000      36907.9110         0.21760E+01
       0.0000      36940.1732         0.22329E+01
       0.0000      36972.4354         0.22796E+01
       0.0000      37004.6975         0.23136E+01
       0.0000      37036.9597         0.23328E+01
       0.0000      37069.2218         0.23366E+01
       0.0000      37101.4840         0.23263E+01
       0.0000      37133.7462         0.23052E+01
       0.0000      37166.0083         0.22781E+01
       0.0000      37198.2705         0.22502E+01
       0.0000      37230.5326         0.22267E+01
       0.0000      37262.7948         0.22116E+01
       0.0000      37295.0570         0.22072E+01
       0.0000      37327.3191         0.22147E+01
       0.0000      37359.5813         0.22335E+01
       0.0000      37391.8434         0.22622E+01
       0.0000      37424.1056         0.22988E+01
       0.0000      37456.3678         0.23410E+01
       0.0000      37488.6299         0.23866E+01
       0.0000      37520.8921         0.24337E+01
       0.0000      37553.1542         0.24808E+01
       0.0000      37585.4164         0.25267E+01
       0.0000      37617.6786         0.25703E+01
