# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.78482E-01
       0.0000      32294.4222         0.81532E-01
       0.0000      32326.6843         0.84627E-01
       0.0000      32358.9465         0.87764E-01
       0.0000      32391.2086         0.90943E-01
       0.0000      32423.4708         0.94160E-01
       0.0000      32455.7330         0.97414E-01
       0.0000      32487.9951         0.10070E+00
       0.0000      32520.2573         0.10402E+00
       0.0000      32552.5194         0.10737E+00
       0.0000      32584.7816         0.11074E+00
       0.0000      32617.0438         0.11415E+00
       0.0000      32649.3059         0.11757E+00
       0.0000      32681.5681         0.12102E+00
       0.0000      32713.8302         0.12448E+00
       0.0000      32746.0924         0.12797E+00
       0.0000      32778.3546         0.13147E+00
       0.0000      32810.6167         0.13499E+00
       0.0000      32842.8789         0.13852E+00
       0.0000      32875.1410         0.14206E+00
       0.0000      32907.4032         0.14562E+00
       0.0000      32939.6654         0.14919E+00
       0.0000      32971.9275         0.15278E+00
       0.0000      33004.1897         0.15637E+00
       0.0000      33036.4518         0.15998E+00
       0.0000      33068.7140         0.16360E+00
       0.0000      33100.9762         0.16723E+00
       0.0000      33133.2383         0.17087E+00
       0.0000      33165.5005         0.17453E+00
       0.0000      33197.7626         0.17820E+00
       0.0000      33230.0248         0.18189E+00
       0.0000      33262.2870         0.18559E+00
       0.0000      33294.5491         0.18932E+00
       0.0000      33326.8113         0.19306E+00
       0.0000      33359.0734         0.19683E+00
       0.0000      33391.3356         0.20062E+00
       0.0000      33423.5978         0.20444E+00
       0.0000      33455.8599         0.20828E+00
       0.0000      33488.1221         0.21216E+00
       0.0000      33520.3842         0.21608E+00
       0.0000      33552.6464         0.22003E+00
       0.0000      33584.9086         0.22402E+00
       0.0000      33617.1707         0.22805E+00
       0.0000      33649.4329         0.23213E+00
       0.0000      33681.6950         0.23626E+00
       0.0000      33713.9572         0.24045E+00
       0.0000      33746.2194         0.24469E+00
       0.0000      33778.4815         0.24900E+00
       0.0000      33810.7437         0.25336E+00
       0.0000      33843.0058         0.25780E+00
       0.0000      33875.2680         0.26232E+00
       0.0000      33907.5302         0.26691E+00
       0.0000      33939.7923         0.27158E+00
       0.0000      33972.0545         0.27634E+00
       0.0000      34004.3166         0.28120E+00
       0.0000      34036.5788         0.28615E+00
       0.0000      34068.8410         0.29120E+00
       0.0000      34101.1031         0.29636E+00
       0.0000      34133.3653         0.30163E+00
       0.0000      34165.6274         0.30702E+00
       0.0000      34197.8896         0.31253E+00
       0.0000      34230.1518         0.31818E+00
       0.0000      34262.4139         0.32395E+00
       0.0000      34294.6761         0.32987E+00
       0.0000      34326.9382         0.33594E+00
       0.0000      34359.2004         0.34216E+00
       0.0000      34391.4626         0.34854E+00
       0.0000      34423.7247         0.35508E+00
       0.0000      34455.9869         0.36180E+00
       0.0000      34488.2490         0.36870E+00
       0.0000      34520.5112         0.37579E+00
       0.0000      34552.7734         0.38308E+00
       0.0000      34585.0355         0.39056E+00
       0.0000      34617.2977         0.39826E+00
       0.0000      34649.5598         0.40618E+00
       0.0000      34681.8220         0.41432E+00
       0.0000      34714.0842         0.42270E+00
       0.0000      34746.3463         0.43132E+00
       0.0000      34778.6085         0.44019E+00
       0.0000      34810.8706         0.44933E+00
       0.0000      34843.1328         0.45873E+00
       0.0000      34875.3950         0.46841E+00
       0.0000      34907.6571         0.47838E+00
       0.0000      34939.9193         0.48864E+00
       0.0000      34972.1814         0.49921E+00
       0.0000      35004.4436         0.51010E+00
       0.0000      35036.7058         0.52130E+00
       0.0000      35068.9679         0.53284E+00
       0.0000      35101.2301         0.54473E+00
       0.0000      35133.4922         0.55696E+00
       0.0000      35165.7544         0.56955E+00
       0.0000      35198.0166         0.58252E+00
       0.0000      35230.2787         0.59586E+00
       0.0000      35262.5409         0.60959E+00
       0.0000      35294.8030         0.62371E+00
       0.0000      35327.0652         0.63824E+00
       0.0000      35359.3274         0.65317E+00
       0.0000      35391.5895         0.66853E+00
       0.0000      35423.8517         0.68431E+00
       0.0000      35456.1138         0.70053E+00
       0.0000      35488.3760         0.71718E+00
       0.0000      35520.6382         0.73428E+00
       0.0000      35552.9003         0.75183E+00
       0.0000      35585.1625         0.76984E+00
       0.0000      35617.4246         0.78830E+00
       0.0000      35649.6868         0.80723E+00
       0.0000      35681.9490         0.82663E+00
       0.0000      35714.2111         0.84650E+00
       0.0000      35746.4733         0.86684E+00
       0.0000      35778.7354         0.88765E+00
       0.0000      35810.9976         0.90894E+00
       0.0000      35843.2598         0.93070E+00
       0.0000      35875.5219         0.95294E+00
       0.0000      35907.7841         0.97564E+00
