 # Mode   Huang-Rhys factor
           1  8.594228899008892E-002
           2  4.932569501132614E-002
           3  3.726494535274947E-002
           4  2.108716797249949E-002
           5  8.084821106956506E-004
           6  2.729527649048903E-004
           7  0.282139371310827     
           8  1.972188904864169E-003
           9  0.242184112368545     
          10  1.215514545471569E-003
          11  0.254862396260518     
          12  4.284198470119655E-003
          13  7.398959905467836E-003
          14  3.652117397013268E-005
          15  0.237361310437664     
          16  0.232679728945155     
          17  2.413683578211971E-006
          18  9.652917352946284E-002
          19  8.169862017198211E-002
          20  3.494779150246870E-004
          21  7.219720489673657E-002
          22  0.135577351130799     
          23  0.241816092827250     
          24  0.136385860808965     
          25  0.493441608146575     
          26  1.122219107300792E-002
          27  2.774387205921069E-003
          28  5.111745530773344E-002
          29  1.301939109901728E-003
          30  3.736552410112861E-004
          31  0.282426601563756     
          32  0.268879355630018     
          33  7.960943579512941E-003
          34  2.280291453349092E-004
          35  7.553106839926774E-007
          36  6.141395688859591E-005
          37  3.351377749112639E-003
          38  2.169140373540019E-004
          39  2.629333539562386E-003
