 # Mode   Huang-Rhys factor
           1  8.594228899007908E-002
           2  4.932569501132566E-002
           3  3.726494535274456E-002
           4  2.108716797250094E-002
           5  8.084821106959317E-004
           6  2.729527649049353E-004
           7  0.282139371310830     
           8  1.972188904863949E-003
           9  0.242184112368543     
          10  1.215514545471684E-003
          11  0.254862396260514     
          12  4.284198470119327E-003
          13  7.398959905467625E-003
          14  3.652117397011826E-005
          15  0.237361310437665     
          16  0.232679728945157     
          17  2.413683578212001E-006
          18  9.652917352946279E-002
          19  8.169862017198221E-002
          20  3.494779150246138E-004
          21  7.219720489673528E-002
          22  0.135577351130800     
          23  0.241816092827251     
          24  0.136385860808964     
          25  0.493441608146572     
          26  1.122219107300778E-002
          27  2.774387205920920E-003
          28  5.111745530773323E-002
          29  1.301939109901735E-003
          30  3.736552410113162E-004
          31  0.282426601563755     
          32  0.268879355630021     
          33  7.960943579513081E-003
          34  2.280291453349115E-004
          35  7.553106839912379E-007
          36  6.141395688859357E-005
          37  3.351377749112606E-003
          38  2.169140373539652E-004
          39  2.629333539562382E-003
