# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.3160  eV
#     vib freq     dsigma/dOmega
       0.0000         0.90882E+06
     108.5770         0.79522E-17
     147.3594         0.30899E-16
     151.6440         0.12563E-15
     280.1280         0.50821E+02
     296.0279         0.22341E-17
     396.8479         0.27711E+04
     400.1156         0.97492E-16
     466.3041         0.25892E+04
     554.3560         0.52439E+04
     554.8476         0.37714E-16
     615.3021         0.39038E+04
     671.0284         0.63865E-20
     744.6052         0.45826E+04
     773.5632         0.43594E-19
     779.8878         0.66088E-18
     816.2598         0.77588E+04
     928.4716         0.22180E-17
     980.6945         0.22600E+04
    1033.7507         0.48740E+04
    1079.1456         0.28422E-17
    1172.7219         0.42055E+04
    1216.2715         0.12652E+05
    1248.9032         0.22556E+05
    1390.6017         0.96667E+05
    1424.5589         0.19660E+04
    1435.1168         0.60709E+02
    1448.0939         0.21898E+04
    1476.8132         0.11182E-16
    1501.5438         0.46769E+04
    1524.1819         0.14287E+05
    1740.4536         0.16851E+06
    1797.5726         0.63096E+05
    1836.2278         0.15482E+05
    3060.4326         0.79273E+03
    3120.4254         0.35418E-19
    3138.3661         0.15326E+03
    3217.6725         0.45900E+04
    3623.8158         0.32306E+03
    3667.3273         0.84223E+03
