 # Mode   Huang-Rhys factor
           1  4.284613729928853E-021
           2  9.890331667150993E-021
           3  3.835438384219720E-020
           4  6.060962877396985E-003
           5  2.460125689923119E-022
           6  0.197061755923324     
           7  6.845189694851182E-021
           8  0.142935886396609     
           9  0.219278305550994     
          10  1.574750290513007E-021
          11  0.138025731830488     
          12  1.969028848559065E-025
          13  0.116997452234700     
          14  1.039382808497977E-024
          15  1.550288788666022E-023
          16  0.167233277490060     
          17  3.813935969429809E-023
          18  3.554027566131938E-002
          19  6.986874408052528E-002
          20  3.711974577396822E-023
          21  4.210578710894115E-002
          22  0.108454283186135     
          23  0.171196857919577     
          24  0.465921568753522     
          25  8.789108767992162E-003
          26  2.658128427302601E-004
          27  9.360125031003566E-003
          28  4.555190710824646E-023
          29  1.835132985639894E-002
          30  5.429374517659825E-002
          31  0.465104147115035     
          32  0.160459550539649     
          33  3.752478793967632E-002
          34  1.251950176191947E-003
          35  4.965748195475587E-026
          36  2.098271221408290E-004
          37  5.563372864356171E-003
          38  3.493976828415531E-004
          39  9.184393909870526E-004
