# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.11614E+05
       0.0000      32294.4222         0.11721E+05
       0.0000      32326.6843         0.11830E+05
       0.0000      32358.9465         0.11939E+05
       0.0000      32391.2086         0.12050E+05
       0.0000      32423.4708         0.12162E+05
       0.0000      32455.7330         0.12276E+05
       0.0000      32487.9951         0.12391E+05
       0.0000      32520.2573         0.12507E+05
       0.0000      32552.5194         0.12625E+05
       0.0000      32584.7816         0.12744E+05
       0.0000      32617.0438         0.12865E+05
       0.0000      32649.3059         0.12987E+05
       0.0000      32681.5681         0.13110E+05
       0.0000      32713.8302         0.13235E+05
       0.0000      32746.0924         0.13362E+05
       0.0000      32778.3546         0.13490E+05
       0.0000      32810.6167         0.13620E+05
       0.0000      32842.8789         0.13751E+05
       0.0000      32875.1410         0.13884E+05
       0.0000      32907.4032         0.14019E+05
       0.0000      32939.6654         0.14155E+05
       0.0000      32971.9275         0.14293E+05
       0.0000      33004.1897         0.14433E+05
       0.0000      33036.4518         0.14574E+05
       0.0000      33068.7140         0.14718E+05
       0.0000      33100.9762         0.14863E+05
       0.0000      33133.2383         0.15010E+05
       0.0000      33165.5005         0.15159E+05
       0.0000      33197.7626         0.15309E+05
       0.0000      33230.0248         0.15462E+05
       0.0000      33262.2870         0.15617E+05
       0.0000      33294.5491         0.15773E+05
       0.0000      33326.8113         0.15932E+05
       0.0000      33359.0734         0.16093E+05
       0.0000      33391.3356         0.16256E+05
       0.0000      33423.5978         0.16421E+05
       0.0000      33455.8599         0.16588E+05
       0.0000      33488.1221         0.16758E+05
       0.0000      33520.3842         0.16930E+05
       0.0000      33552.6464         0.17104E+05
       0.0000      33584.9086         0.17280E+05
       0.0000      33617.1707         0.17459E+05
       0.0000      33649.4329         0.17640E+05
       0.0000      33681.6950         0.17823E+05
       0.0000      33713.9572         0.18010E+05
       0.0000      33746.2194         0.18198E+05
       0.0000      33778.4815         0.18389E+05
       0.0000      33810.7437         0.18583E+05
       0.0000      33843.0058         0.18780E+05
       0.0000      33875.2680         0.18979E+05
       0.0000      33907.5302         0.19181E+05
       0.0000      33939.7923         0.19386E+05
       0.0000      33972.0545         0.19594E+05
       0.0000      34004.3166         0.19804E+05
       0.0000      34036.5788         0.20018E+05
       0.0000      34068.8410         0.20235E+05
       0.0000      34101.1031         0.20455E+05
       0.0000      34133.3653         0.20678E+05
       0.0000      34165.6274         0.20904E+05
       0.0000      34197.8896         0.21133E+05
       0.0000      34230.1518         0.21366E+05
       0.0000      34262.4139         0.21602E+05
       0.0000      34294.6761         0.21841E+05
       0.0000      34326.9382         0.22085E+05
       0.0000      34359.2004         0.22331E+05
       0.0000      34391.4626         0.22581E+05
       0.0000      34423.7247         0.22836E+05
       0.0000      34455.9869         0.23093E+05
       0.0000      34488.2490         0.23355E+05
       0.0000      34520.5112         0.23621E+05
       0.0000      34552.7734         0.23890E+05
       0.0000      34585.0355         0.24164E+05
       0.0000      34617.2977         0.24442E+05
       0.0000      34649.5598         0.24724E+05
       0.0000      34681.8220         0.25011E+05
       0.0000      34714.0842         0.25302E+05
       0.0000      34746.3463         0.25597E+05
       0.0000      34778.6085         0.25897E+05
       0.0000      34810.8706         0.26202E+05
       0.0000      34843.1328         0.26512E+05
       0.0000      34875.3950         0.26826E+05
       0.0000      34907.6571         0.27146E+05
       0.0000      34939.9193         0.27470E+05
       0.0000      34972.1814         0.27800E+05
       0.0000      35004.4436         0.28135E+05
       0.0000      35036.7058         0.28476E+05
       0.0000      35068.9679         0.28822E+05
       0.0000      35101.2301         0.29174E+05
       0.0000      35133.4922         0.29531E+05
       0.0000      35165.7544         0.29895E+05
       0.0000      35198.0166         0.30264E+05
       0.0000      35230.2787         0.30640E+05
       0.0000      35262.5409         0.31022E+05
       0.0000      35294.8030         0.31410E+05
       0.0000      35327.0652         0.31805E+05
       0.0000      35359.3274         0.32207E+05
       0.0000      35391.5895         0.32616E+05
       0.0000      35423.8517         0.33031E+05
       0.0000      35456.1138         0.33454E+05
       0.0000      35488.3760         0.33885E+05
       0.0000      35520.6382         0.34322E+05
       0.0000      35552.9003         0.34768E+05
       0.0000      35585.1625         0.35221E+05
       0.0000      35617.4246         0.35683E+05
       0.0000      35649.6868         0.36153E+05
       0.0000      35681.9490         0.36631E+05
       0.0000      35714.2111         0.37118E+05
       0.0000      35746.4733         0.37613E+05
       0.0000      35778.7354         0.38118E+05
       0.0000      35810.9976         0.38632E+05
       0.0000      35843.2598         0.39156E+05
       0.0000      35875.5219         0.39689E+05
       0.0000      35907.7841         0.40233E+05
       0.0000      35940.0462         0.40786E+05
       0.0000      35972.3084         0.41351E+05
       0.0000      36004.5706         0.41926E+05
       0.0000      36036.8327         0.42512E+05
       0.0000      36069.0949         0.43109E+05
       0.0000      36101.3570         0.43718E+05
       0.0000      36133.6192         0.44339E+05
       0.0000      36165.8814         0.44972E+05
       0.0000      36198.1435         0.45618E+05
       0.0000      36230.4057         0.46277E+05
       0.0000      36262.6678         0.46948E+05
       0.0000      36294.9300         0.47634E+05
       0.0000      36327.1922         0.48333E+05
       0.0000      36359.4543         0.49047E+05
       0.0000      36391.7165         0.49776E+05
       0.0000      36423.9786         0.50520E+05
       0.0000      36456.2408         0.51279E+05
       0.0000      36488.5030         0.52055E+05
       0.0000      36520.7651         0.52846E+05
       0.0000      36553.0273         0.53655E+05
       0.0000      36585.2894         0.54482E+05
       0.0000      36617.5516         0.55326E+05
       0.0000      36649.8138         0.56189E+05
       0.0000      36682.0759         0.57071E+05
       0.0000      36714.3381         0.57972E+05
       0.0000      36746.6002         0.58894E+05
       0.0000      36778.8624         0.59837E+05
       0.0000      36811.1246         0.60801E+05
       0.0000      36843.3867         0.61787E+05
       0.0000      36875.6489         0.62796E+05
       0.0000      36907.9110         0.63828E+05
       0.0000      36940.1732         0.64885E+05
       0.0000      36972.4354         0.65967E+05
       0.0000      37004.6975         0.67075E+05
       0.0000      37036.9597         0.68210E+05
       0.0000      37069.2218         0.69372E+05
       0.0000      37101.4840         0.70563E+05
       0.0000      37133.7462         0.71783E+05
       0.0000      37166.0083         0.73034E+05
       0.0000      37198.2705         0.74317E+05
       0.0000      37230.5326         0.75632E+05
       0.0000      37262.7948         0.76981E+05
       0.0000      37295.0570         0.78365E+05
       0.0000      37327.3191         0.79786E+05
       0.0000      37359.5813         0.81244E+05
       0.0000      37391.8434         0.82742E+05
       0.0000      37424.1056         0.84279E+05
       0.0000      37456.3678         0.85859E+05
       0.0000      37488.6299         0.87483E+05
       0.0000      37520.8921         0.89152E+05
       0.0000      37553.1542         0.90868E+05
       0.0000      37585.4164         0.92632E+05
       0.0000      37617.6786         0.94448E+05
       0.0000      37649.9407         0.96317E+05
       0.0000      37682.2029         0.98241E+05
       0.0000      37714.4650         0.10022E+06
       0.0000      37746.7272         0.10226E+06
       0.0000      37778.9894         0.10437E+06
       0.0000      37811.2515         0.10654E+06
       0.0000      37843.5137         0.10877E+06
       0.0000      37875.7758         0.11108E+06
       0.0000      37908.0380         0.11346E+06
       0.0000      37940.3002         0.11592E+06
       0.0000      37972.5623         0.11846E+06
       0.0000      38004.8245         0.12109E+06
       0.0000      38037.0866         0.12381E+06
       0.0000      38069.3488         0.12661E+06
       0.0000      38101.6110         0.12952E+06
       0.0000      38133.8731         0.13253E+06
       0.0000      38166.1353         0.13565E+06
       0.0000      38198.3974         0.13888E+06
       0.0000      38230.6596         0.14223E+06
       0.0000      38262.9218         0.14571E+06
       0.0000      38295.1839         0.14932E+06
       0.0000      38327.4461         0.15307E+06
       0.0000      38359.7082         0.15697E+06
       0.0000      38391.9704         0.16103E+06
       0.0000      38424.2326         0.16525E+06
       0.0000      38456.4947         0.16965E+06
       0.0000      38488.7569         0.17423E+06
       0.0000      38521.0190         0.17902E+06
       0.0000      38553.2812         0.18401E+06
       0.0000      38585.5434         0.18923E+06
       0.0000      38617.8055         0.19469E+06
       0.0000      38650.0677         0.20040E+06
       0.0000      38682.3298         0.20638E+06
       0.0000      38714.5920         0.21265E+06
       0.0000      38746.8542         0.21924E+06
       0.0000      38779.1163         0.22615E+06
       0.0000      38811.3785         0.23343E+06
       0.0000      38843.6406         0.24108E+06
       0.0000      38875.9028         0.24915E+06
       0.0000      38908.1650         0.25766E+06
       0.0000      38940.4271         0.26665E+06
       0.0000      38972.6893         0.27616E+06
       0.0000      39004.9514         0.28622E+06
       0.0000      39037.2136         0.29688E+06
       0.0000      39069.4758         0.30819E+06
       0.0000      39101.7379         0.32019E+06
       0.0000      39134.0001         0.33295E+06
       0.0000      39166.2622         0.34651E+06
       0.0000      39198.5244         0.36094E+06
       0.0000      39230.7866         0.37629E+06
       0.0000      39263.0487         0.39261E+06
       0.0000      39295.3109         0.40995E+06
       0.0000      39327.5730         0.42835E+06
       0.0000      39359.8352         0.44780E+06
       0.0000      39392.0974         0.46828E+06
       0.0000      39424.3595         0.48971E+06
       0.0000      39456.6217         0.51191E+06
       0.0000      39488.8838         0.53462E+06
       0.0000      39521.1460         0.55741E+06
