 # Mode   Huang-Rhys factor
           1  4.285146296328097E-021
           2  9.889887107518418E-021
           3  3.835645268621674E-020
           4  6.060962877395696E-003
           5  2.458166061160399E-022
           6  0.197061755923325     
           7  6.846013956709611E-021
           8  0.142935886396610     
           9  0.219278305550992     
          10  1.574812519594447E-021
          11  0.138025731830488     
          12  1.956928866821520E-025
          13  0.116997452234699     
          14  1.037827374411471E-024
          15  1.549857769614544E-023
          16  0.167233277490059     
          17  3.812971279843441E-023
          18  3.554027566131905E-002
          19  6.986874408052454E-002
          20  3.712216527329325E-023
          21  4.210578710894108E-002
          22  0.108454283186134     
          23  0.171196857919577     
          24  0.465921568753519     
          25  8.789108767992295E-003
          26  2.658128427302208E-004
          27  9.360125031003327E-003
          28  4.554379475690479E-023
          29  1.835132985639882E-002
          30  5.429374517659821E-002
          31  0.465104147115037     
          32  0.160459550539648     
          33  3.752478793967595E-002
          34  1.251950176191979E-003
          35  5.008490708075011E-026
          36  2.098271221408605E-004
          37  5.563372864356084E-003
          38  3.493976828415248E-004
          39  9.184393909870700E-004
