# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.66323E+04
       0.0000      32294.4222         0.68803E+04
       0.0000      32326.6843         0.71310E+04
       0.0000      32358.9465         0.73844E+04
       0.0000      32391.2086         0.76401E+04
       0.0000      32423.4708         0.78979E+04
       0.0000      32455.7330         0.81575E+04
       0.0000      32487.9951         0.84187E+04
       0.0000      32520.2573         0.86812E+04
       0.0000      32552.5194         0.89448E+04
       0.0000      32584.7816         0.92093E+04
       0.0000      32617.0438         0.94744E+04
       0.0000      32649.3059         0.97400E+04
       0.0000      32681.5681         0.10006E+05
       0.0000      32713.8302         0.10271E+05
       0.0000      32746.0924         0.10537E+05
       0.0000      32778.3546         0.10802E+05
       0.0000      32810.6167         0.11067E+05
       0.0000      32842.8789         0.11331E+05
       0.0000      32875.1410         0.11594E+05
       0.0000      32907.4032         0.11856E+05
       0.0000      32939.6654         0.12117E+05
       0.0000      32971.9275         0.12377E+05
       0.0000      33004.1897         0.12636E+05
       0.0000      33036.4518         0.12893E+05
       0.0000      33068.7140         0.13149E+05
       0.0000      33100.9762         0.13404E+05
       0.0000      33133.2383         0.13657E+05
       0.0000      33165.5005         0.13909E+05
       0.0000      33197.7626         0.14159E+05
       0.0000      33230.0248         0.14408E+05
       0.0000      33262.2870         0.14655E+05
       0.0000      33294.5491         0.14902E+05
       0.0000      33326.8113         0.15146E+05
       0.0000      33359.0734         0.15390E+05
       0.0000      33391.3356         0.15632E+05
       0.0000      33423.5978         0.15874E+05
       0.0000      33455.8599         0.16114E+05
       0.0000      33488.1221         0.16354E+05
       0.0000      33520.3842         0.16592E+05
       0.0000      33552.6464         0.16831E+05
       0.0000      33584.9086         0.17068E+05
       0.0000      33617.1707         0.17306E+05
       0.0000      33649.4329         0.17543E+05
       0.0000      33681.6950         0.17780E+05
       0.0000      33713.9572         0.18017E+05
       0.0000      33746.2194         0.18254E+05
       0.0000      33778.4815         0.18492E+05
       0.0000      33810.7437         0.18730E+05
       0.0000      33843.0058         0.18969E+05
       0.0000      33875.2680         0.19209E+05
       0.0000      33907.5302         0.19450E+05
       0.0000      33939.7923         0.19692E+05
       0.0000      33972.0545         0.19935E+05
       0.0000      34004.3166         0.20180E+05
       0.0000      34036.5788         0.20427E+05
       0.0000      34068.8410         0.20675E+05
       0.0000      34101.1031         0.20925E+05
       0.0000      34133.3653         0.21178E+05
       0.0000      34165.6274         0.21433E+05
       0.0000      34197.8896         0.21690E+05
       0.0000      34230.1518         0.21950E+05
       0.0000      34262.4139         0.22213E+05
       0.0000      34294.6761         0.22478E+05
       0.0000      34326.9382         0.22747E+05
       0.0000      34359.2004         0.23018E+05
       0.0000      34391.4626         0.23294E+05
       0.0000      34423.7247         0.23572E+05
       0.0000      34455.9869         0.23854E+05
       0.0000      34488.2490         0.24141E+05
       0.0000      34520.5112         0.24430E+05
       0.0000      34552.7734         0.24725E+05
       0.0000      34585.0355         0.25023E+05
       0.0000      34617.2977         0.25325E+05
       0.0000      34649.5598         0.25632E+05
       0.0000      34681.8220         0.25944E+05
       0.0000      34714.0842         0.26260E+05
       0.0000      34746.3463         0.26582E+05
       0.0000      34778.6085         0.26908E+05
       0.0000      34810.8706         0.27240E+05
       0.0000      34843.1328         0.27577E+05
       0.0000      34875.3950         0.27919E+05
       0.0000      34907.6571         0.28267E+05
       0.0000      34939.9193         0.28621E+05
       0.0000      34972.1814         0.28981E+05
       0.0000      35004.4436         0.29346E+05
       0.0000      35036.7058         0.29719E+05
       0.0000      35068.9679         0.30097E+05
       0.0000      35101.2301         0.30482E+05
       0.0000      35133.4922         0.30874E+05
       0.0000      35165.7544         0.31273E+05
       0.0000      35198.0166         0.31678E+05
       0.0000      35230.2787         0.32092E+05
       0.0000      35262.5409         0.32512E+05
       0.0000      35294.8030         0.32940E+05
       0.0000      35327.0652         0.33376E+05
       0.0000      35359.3274         0.33821E+05
       0.0000      35391.5895         0.34273E+05
       0.0000      35423.8517         0.34734E+05
       0.0000      35456.1138         0.35203E+05
       0.0000      35488.3760         0.35682E+05
       0.0000      35520.6382         0.36170E+05
       0.0000      35552.9003         0.36667E+05
       0.0000      35585.1625         0.37174E+05
       0.0000      35617.4246         0.37691E+05
       0.0000      35649.6868         0.38218E+05
       0.0000      35681.9490         0.38756E+05
       0.0000      35714.2111         0.39304E+05
       0.0000      35746.4733         0.39864E+05
       0.0000      35778.7354         0.40435E+05
       0.0000      35810.9976         0.41017E+05
       0.0000      35843.2598         0.41612E+05
       0.0000      35875.5219         0.42220E+05
       0.0000      35907.7841         0.42840E+05
       0.0000      35940.0462         0.43473E+05
       0.0000      35972.3084         0.44121E+05
       0.0000      36004.5706         0.44782E+05
       0.0000      36036.8327         0.45458E+05
       0.0000      36069.0949         0.46148E+05
       0.0000      36101.3570         0.46854E+05
       0.0000      36133.6192         0.47576E+05
       0.0000      36165.8814         0.48315E+05
       0.0000      36198.1435         0.49070E+05
       0.0000      36230.4057         0.49843E+05
       0.0000      36262.6678         0.50635E+05
       0.0000      36294.9300         0.51445E+05
       0.0000      36327.1922         0.52274E+05
       0.0000      36359.4543         0.53123E+05
       0.0000      36391.7165         0.53993E+05
       0.0000      36423.9786         0.54885E+05
       0.0000      36456.2408         0.55799E+05
       0.0000      36488.5030         0.56736E+05
       0.0000      36520.7651         0.57697E+05
       0.0000      36553.0273         0.58683E+05
       0.0000      36585.2894         0.59694E+05
       0.0000      36617.5516         0.60732E+05
       0.0000      36649.8138         0.61798E+05
       0.0000      36682.0759         0.62892E+05
       0.0000      36714.3381         0.64016E+05
       0.0000      36746.6002         0.65171E+05
       0.0000      36778.8624         0.66358E+05
       0.0000      36811.1246         0.67579E+05
       0.0000      36843.3867         0.68834E+05
       0.0000      36875.6489         0.70125E+05
       0.0000      36907.9110         0.71453E+05
       0.0000      36940.1732         0.72821E+05
       0.0000      36972.4354         0.74228E+05
       0.0000      37004.6975         0.75678E+05
       0.0000      37036.9597         0.77171E+05
       0.0000      37069.2218         0.78709E+05
       0.0000      37101.4840         0.80294E+05
       0.0000      37133.7462         0.81928E+05
       0.0000      37166.0083         0.83613E+05
       0.0000      37198.2705         0.85350E+05
       0.0000      37230.5326         0.87142E+05
       0.0000      37262.7948         0.88990E+05
       0.0000      37295.0570         0.90898E+05
       0.0000      37327.3191         0.92866E+05
       0.0000      37359.5813         0.94897E+05
       0.0000      37391.8434         0.96994E+05
       0.0000      37424.1056         0.99159E+05
       0.0000      37456.3678         0.10139E+06
       0.0000      37488.6299         0.10370E+06
       0.0000      37520.8921         0.10608E+06
       0.0000      37553.1542         0.10854E+06
       0.0000      37585.4164         0.11108E+06
       0.0000      37617.6786         0.11370E+06
       0.0000      37649.9407         0.11641E+06
       0.0000      37682.2029         0.11920E+06
       0.0000      37714.4650         0.12209E+06
       0.0000      37746.7272         0.12506E+06
       0.0000      37778.9894         0.12813E+06
       0.0000      37811.2515         0.13130E+06
       0.0000      37843.5137         0.13457E+06
       0.0000      37875.7758         0.13794E+06
       0.0000      37908.0380         0.14141E+06
       0.0000      37940.3002         0.14499E+06
       0.0000      37972.5623         0.14868E+06
       0.0000      38004.8245         0.15247E+06
       0.0000      38037.0866         0.15638E+06
       0.0000      38069.3488         0.16040E+06
       0.0000      38101.6110         0.16454E+06
       0.0000      38133.8731         0.16879E+06
       0.0000      38166.1353         0.17316E+06
       0.0000      38198.3974         0.17765E+06
       0.0000      38230.6596         0.18225E+06
